"","x"
"1",5
"2",4
"3",5
"4",5
"5",4
"6",5
"7",5
"8",5
"9",4
"10",4
"11",4
"12",3
"13",4
"14",4
"15",4
"16",4
"17",3
"18",2
"19",3
"20",3
"21",3
"22",4
"23",4
"24",5
"25",4
"26",5
"27",5
"28",4
"29",4
"30",5
"31",5
"32",4
"33",4
"34",4
"35",5
"36",5
"37",2
"38",3
"39",4
"40",3
"41",4
"42",4
"43",5
"44",4
"45",4
"46",5
"47",5
"48",5
"49",5
"50",4
"51",3
"52",3
"53",2
"54",3
"55",3
"56",4
"57",4
"58",5
"59",5
"60",5
"61",5
"62",5
"63",5
"64",5
"65",5
"66",5
"67",5
"68",5
"69",5
"70",2
"71",2
"72",2
"73",1
"74",2
"75",1
"76",1
"77",1
"78",4
"79",4
"80",3
"81",3
"82",4
"83",4
"84",1
"85",5
"86",5
"87",5
"88",1
"89",1
"90",1
"91",1
"92",1
"93",1
"94",1
"95",1
"96",1
"97",1
"98",1
"99",1
"100",1
"101",1
"102",3
"103",3
"104",3
"105",3
"106",3
"107",3
"108",3
"109",3
"110",3
"111",3
"112",3
"113",3
"114",3
"115",3
"116",3
"117",3
"118",3
"119",3
"120",3
"121",3
"122",3
"123",3
"124",3
"125",3
"126",3
"127",3
"128",3
"129",3
"130",3
"131",3
"132",3
"133",3
"134",3
"135",3
"136",3
"137",3
"138",3
"139",3
"140",3
"141",3
"142",1
"143",2
"144",2
"145",2
"146",2
"147",1
"148",1
"149",2
"150",1
"151",1
"152",2
"153",1
"154",2
"155",2
"156",2
"157",1
"158",1
"159",1
"160",1
